Continent,Country Code,Country,VAT,VATM,StandardRate,ReducedRate,TaxExempt,Tax_Change_Date,Imp_tax_Exempt,Content,References,Successful_Camp,Active_Camp,Year,Camp_Name,Camp_Pet,More_Camp_Info,Rec_Articles
Asia,AFG,Afghanistan,10.00%,10.00%,yes,no,no,,,Afghanistan has a standar...,avalara.com...,no info,no info,,,,,
Europe,ALB,Albania,20.00%,20.00%,yes,no,no,,,Albania's Standarf VAT is...,taxsummarie...,no info,no info,,,,,
Africa,DZA,Algeria,19.00%,19.00%,yes,no,no,,,Algeria applies a 19% sta...,assets.ey.c...,no info,no info,,,,,
Europe,AND,Andorra,4.50%,4.50%,yes,no,no,,,Andorra has the lowest st...,andorraguid...,no info,no info,,,,,
Africa,AGO,Angola,14.00%,14.00%,yes,no,no,,,Angola's VAT system was i...,assets.ey.c...,no info,no info,,,,,
North America,ATG,Antigua and Barbuda,15.00%,15.00%,yes,no,no,,,,tradingecon...,no info,no info,,,,,
South America,ARG,Argentina,21.00%,21.00%,yes,no,no,,,Argentina applies a range...,civio.es...,no,yes,2017,#MenstruAcción,notimerica....,Among Women's Day marches...,
Asia,ARM,Armenia,20.00%,20.00%,yes,no,no,,,Armenia's standard VAT st...,assets.ey.c...,no info,no info,,,,,
North America,ABW,Aruba,6.00%,6.00%,yes,no,no,,,Combined turnover and hea...,avalara.com...,no info,no info,,,,,
Oceania,AUS,Australia,10.00%,0.00%,no,no,yes,2019,,With effect from 1 Januar...,legislation...,yes,no,2012-2018,#Blingonastring #BloodyOutrage,change.org...,When Australia's conserva...,watoday.com.au...
Europe,AUT,Austria,20.00%,10.00%,no,yes,no,2021,,In a decision from Decemb...,tt.com...,yes,yes,2016,#aufstehen,actions.auf...,Erdbeerwoche wrote an ope...,erdbeerwoche.co...
Asia,AZE,Azerbaijan,18.00%,18.00%,yes,no,no,,,Azerbaijan's applies a 18...,assets.ey.c...,no info,no info,,,,,
North America,BHS,Bahamas,7.50%,0%,no,no,yes,2021,,In the 2021/22 budget com...,ewnews.com...,no,yes,2018,,change.org...,In 2018 a change.org peti...,
Asia,BHR,Bahrain,5.00%,5.00%,yes,no,no,,,"From 1st January 2019, Bh...",avalara.com...,no info,no info,,,,,
Asia,BGD,Bangladesh,15.00%,0%,no,no,yes,2019 / 2021,y,In the 2021-22 national b...,dhakatribun...,yes,no,2019,,change.org...,"For more details, watch t...",dhakatribune.co...
North America,BRB,Barbados,17.50%,17.50%,yes,no,no,,,Barbados applies a standa...,avalara.com...,no info,no info,,,,,
Europe,BLR,Belarus,20.00%,20.00%,yes,no,no,,,"In Belarus , the 20% VAT...",assets.ey.c...,no info,no info,,,,,
Europe,BEL,Belgium,21.00%,6.00%,no,yes,no,2018,,The Belgian government an...,etaamb.be...,yes,no,2015,#Tampontaks,change.org...,Feminist collective Belge...,test-achats.be...
North America,BLZ,Belize,12.50%,12.50%,yes,no,no,,,General Sales Tax (GST) i...,expat.com...,no info,no info,,,,,
Africa,BEN,Benin,18.00%,18.00%,yes,no,no,,,Benin applies a tandard V...,impots.fina...,no info,no info,,,,,
Asia,BTN,Bhutan,7.00%,0.00%,no,no,yes,2020,y,In 2020 Bhutan introduced...,mof.gov.bt...,no info,no info,,,,,
South America,BOL,Bolivia,14.94%,14.94%,yes,no,no,,,A standard tax rate of 13...,assets.ey.c...,no info,no info,,,,,
Europe,BIH,Bosnia and Herzegovina,17.00%,17.00%,yes,no,no,,,The standard VAT rate is...,taxsummarie...,no info,no info,,,,,
Africa,BWA,Botswana,12.00%,12.00%,yes,no,no,,,Botswana's standard VAT r...,assets.ey.c...,no info,no info,,,,,
South America,BRA,Brazil,18.50%,18.50%,yes,no,no,,,Brazil apllies state-leve...,pwc.com...,no info,no info,,,,,
Asia,BRN,Brunei,x,x,,,,,,Brunei does not currently...,rd.go.th...,no info,no info,,,,,
Europe,BGR,Bulgaria,20.00%,20.00%,yes,no,no,,,Bulgaria has a standard V...,ec.europa.e...,no info,no info,,,,,
Africa,BFA,Burkina Faso,18.00%,18.00%,yes,no,no,,,The standard VAT in Burki...,crowe.com...,no info,no info,,,,,
Africa,BDI,Burundi,18.00%,18.00%,yes,no,no,,,Burundi's standard VAT is...,eac.int...,no,yes,2020,#NtaKoriMuKwezi,,The #NtaKoriMuKwezi campa...,rfi.fr...
Asia,KHM,Cambodia,10.00%,10.00%,yes,no,no,,,Cambodia levies a standar...,home.kpmg...,no info,no info,,,,,
Africa,CMR,Cameroon,19.25%,19.25%,yes,no,no,,,Cameroon's standard VAT i...,drive.googl...,no info,no info,,,,,
North America,CAN,Canada,10%,0.00%,no,no,yes,2015,,Pursuant to Part II.1 of...,laws-lois.j...,yes,no,2014,#pasdetaxessurmestampons,change.org...,The #NoTaxOnTampons campa...,independent.co....
Africa,CPV,Cape Verde,15.00%,15.00%,yes,no,no,,,"In Cap Verde, standard va...",taxsummarie...,no info,no info,,,,,
Africa,CAF,Central African Republic,19.00%,19.00%,yes,no,no,,,Central African Republic...,tradingecon...,no info,no info,,,,,
Africa,TCD,Chad,18.00%,18.00%,yes,no,no,,,Chad's current VAT rate i...,pwc.co.za...,no info,no info,,,,,
South America,CHL,Chile,19.00%,19.00%,yes,no,no,,,A 19% standard tax rate a...,pwc.com...,no info,no info,,,,,
Asia,CHN,China,13.00%,13.00%,yes,no,no,,,The standard rate of VAT...,worldwide-t...,no,yes,,,lis.ly.gov....,,
