Timestamp,Age,Gender,What type of phone do you use? (ie. iPhone 11 or Samsung Galaxy S22 Ultra),"How many photos do you have on your phone? (For iPhones, open the Photos app, then go to Albums, then you find the photo count under the Recents album) ","How many of those are screenshots? (For iPhones, open the Photos app, then go to Albums, then scroll to Media Types and look at the number count beside Screenshots)","If you use a camera other than your phone to take photos, what kind is it?",Is your phone the main camera you use? ,Would you say you have practiced photography in this year? ,Photos minus screenshots,Average 
2/7/23 13:59,18,Male,iPhone 13,"2,300.00",358,,"Yes, majority of my photos are taken on my phone",No,"1,942.00",4775.920455
2/7/23 14:01,18,Male,iPhone 11,"1,600.00",508,,"Yes, majority of my photos are taken on my phone",No,"1,092.00",
2/7/23 14:04,18,Female,iPhone 12,"19,000.00","1,173.00",Digital camera,"Yes, majority of my photos are taken on my phone",Yes,"17,827.00",
2/7/23 14:08,17,Male,iPhone 13,"3,400.00",828,,"Yes, majority of my photos are taken on my phone",No,"2,572.00",
2/7/23 14:15,17,Male,iPhone 14 ,"5,674.00","1,952.00",,"Yes, majority of my photos are taken on my phone",No,"3,722.00",
2/7/23 14:16,18,Male,iPhone SE ,"5,792.00","2,487.00",,"Yes, majority of my photos are taken on my phone",No,"3,305.00",
2/7/23 14:18,18,Male,iPhone 12,"2,600.00",800,,"Yes, majority of my photos are taken on my phone",No,"1,800.00",
2/7/23 14:20,18,Non-binary,iPhone 12,"3,481.00",965,,"Yes, majority of my photos are taken on my phone",No,"2,516.00",
2/7/23 14:21,18,Male,iPhone 14,"2,518.00",304,,"Yes, majority of my photos are taken on my phone",No,"2,214.00",
2/7/23 14:24,17,Male,iPhone 13,"6,890.00","3,580.00",Digital camera,"Yes, majority of my photos are taken on my phone",No,"3,310.00",
2/7/23 14:25,17,Female,iPhone 13,"12,031.00","2,326.00",,"Yes, majority of my photos are taken on my phone",No,"9,705.00",
2/7/23 14:26,17,Female,iPhone 14,"3,144.00",149,Film camera,"Yes, majority of my photos are taken on my phone",No,"2,995.00",
2/7/23 14:27,17,Female,iPhone 8,"1,468.00",75,Digital camera,"Yes, majority of my photos are taken on my phone",No,"1,393.00",
2/7/23 15:13,18,Female,iPhone 13,"4,995.00",729,Film camera,"Yes, majority of my photos are taken on my phone",No,"4,266.00",
2/7/23 20:04,17,Female,iPhone 12,"20,710.00","2,423.00",Both,"Depends, I use a digital/film camera half of the time and my phone the other half",Yes,"18,287.00",
2/7/23 20:13,17,Female,iPhone 14 ,"19,364.00","6,625.00",Digital camera,"Yes, majority of my photos are taken on my phone",No,"12,739.00",
2/7/23 22:04,18,Male,iPhone 13,"2,416.00",608,,"Yes, majority of my photos are taken on my phone",No,"1,808.00",
2/8/23 12:41,18,Female,IPhone 13 ,"7,600.00",736,,"Yes, majority of my photos are taken on my phone",No,"6,864.00",
2/8/23 12:42,17,Female,iPhone 13 ,"58,728.00","16,917.00",,"Yes, majority of my photos are taken on my phone",No,"41,811.00",
2/8/23 12:44,18,Female,iPhone 12,"1,416.00",233,Both,"Yes, majority of my photos are taken on my phone",Yes,"1,183.00",
2/9/23 8:27,17,Female,iPhone 12 ,"10,659.00","2,778.00",Digital camera,"Yes, majority of my photos are taken on my phone",Yes,"7,881.00",
2/9/23 8:28,18,Female,iPhone 11,"8,923.00","1,538.00",,"Yes, majority of my photos are taken on my phone",Yes,"7,385.00",
3/9/23 21:11,16,Female,iPhone 14,"1,392.00",119,,"Yes, majority of my photos are taken on my phone",No,"1,273.00",
3/9/23 21:11,15,Male,iPhone SE ,"2,550.00",507,Digital camera,"Depends, I use a digital/film camera half of the time and my phone the other half",Yes,"2,043.00",
3/9/23 21:11,15,Female,iPhone 11,"1,374.00",216,,"Yes, majority of my photos are taken on my phone",No,"1,158.00",
3/9/23 21:12,15,Female,iPhone XS Max,"2,479.00",683,Both,"Yes, majority of my photos are taken on my phone",Yes,"1,796.00",
3/9/23 21:12,16,Male,iPhone 11,"1,914.00",369,,"Yes, majority of my photos are taken on my phone",No,"1,545.00",
3/9/23 21:13,15,Male,iPhone 12,"3,887.00",584,,"Yes, majority of my photos are taken on my phone",Yes,"3,303.00",
3/9/23 21:13,16,Female,iPhone 11,"7,941.00","1,113.00",Digital camera,"Yes, majority of my photos are taken on my phone",Yes,"6,828.00",
3/9/23 21:14,15,Female,iPhone 13,"2,000.00",430,,"Yes, majority of my photos are taken on my phone",No,"1,570.00",
3/9/23 21:16,16,Female,iPhone 11 Pro,"2,885.00",454,,"Yes, majority of my photos are taken on my phone",No,"2,431.00",
3/9/23 21:17,16,Female,iPhone 11,62,10,,"Yes, majority of my photos are taken on my phone",No,52,
3/9/23 21:18,15,Male,iPhone 13,222,63,,"Yes, majority of my photos are taken on my phone",No,159,
3/9/23 21:25,15,Male,iPhone SE,"1,700.00",180,Digital camera,"Yes, majority of my photos are taken on my phone",Yes,"1,520.00",
3/9/23 21:25,15,Non-binary,iPhone 13,"9,075.00","1,926.00",,"Yes, majority of my photos are taken on my phone",No,"7,149.00",
3/9/23 21:28,16,Female,iPhone 12,"5,000.00","1,300.00",Film camera,"Yes, majority of my photos are taken on my phone",No,"3,700.00",
3/9/23 21:35,16,Male,iPhone 13,"1,535.00",215,,"Yes, majority of my photos are taken on my phone",No,"1,320.00",
3/9/23 21:44,16,Female,iPhone 11,"2,294.00",360,,"Yes, majority of my photos are taken on my phone",No,"1,934.00",
3/9/23 21:52,15,Male,iPhone 14,"1,108.00",158,,"Yes, majority of my photos are taken on my phone",No,950,
3/9/23 21:56,15,Female,iPhone 7,"6,406.00",550,Both,"Yes, majority of my photos are taken on my phone",Yes,"5,856.00",
3/9/23 22:06,16,Female,iPhone SE,"9,879.00","1,097.00",,"Yes, majority of my photos are taken on my phone",No,"8,782.00",
3/9/23 22:31,16,Male,iPhone 13 Pro,"1,344.00",109,,"Yes, majority of my photos are taken on my phone",No,"1,235.00",
3/10/23 7:30,16,Male,iPhone 13,"1,646.00",313,Film camera,"Yes, majority of my photos are taken on my phone",Yes,"1,333.00",
3/10/23 8:38,15,Male,iPhone SE,819,36,,"Yes, majority of my photos are taken on my phone",No,783,
