Course Desc,T1Grd,T2Grd,T3Grd,T4Grd,Exam,FG,Gender,Grade,Department,CrsNo,Year,Level,Credit
Art and Technique of Film H,A,A-,A-,B+,,A-,M,12,ELA,1361,2022,H,5
Horror & SciFi Literature ACP,A-,A-,A-,A,,A-,M,12,ELA,1501,2022,ACP,5
Asian American Literature ACP,A,A,A,A,,A,M,12,ELA,1391,2022,ACP,5
Hiphop: LitCultureMusic ACP,B-,B-,C+,C-,,C+,M,12,ELA,1441,2022,ACP,5
Horror & SciFi Literature ACP,A-,A-,A-,A,,A-,M,12,ELA,1501,2022,ACP,5
The Short Story H,A-,A-,A-,A-,,A-,M,12,ELA,1341,2022,H,5
AP English 12,A,B+,B+,A-,,A-,F,12,ELA,1301,2022,H,5
Philosophy as Literature H,A,A,A,A,,A,F,12,ELA,1311,2022,H,5
Diverse Persp Literature ACP,A,B+,A,A,,A-,F,12,ELA,1331,2022,ACP,5
Art and Technique of Film ACP,A,A,A,A,,A,F,12,ELA,1371,2022,ACP,5
Lit and Comp for College ACP,A,A,B+,A-,,A-,M,12,ELA,1421,2022,ACP,5
Art and Technique of Film H,A-,B+,A,A-,,A-,M,12,ELA,1361,2022,H,5
AP English 12,A-,A,A-,A,,A,F,12,ELA,1301,2022,H,5
Diverse Perspectives in Lit H,A,A,A,A,,A,F,12,ELA,1321,2022,H,5
The Short Story H,A,A,A,A,,A,F,12,ELA,1341,2022,H,5
Women in Literature and Society H,B+,B-,B-,D-,,C,F,12,ELA,1401,2022,H,5
The Short Story H,A-,A-,B+,A-,,A-,M,12,ELA,1341,2022,H,5
The Short Story H,A,A,A,B,,A,M,12,ELA,1341,2022,H,5
Art and Technique of Film H,A-,B,B,B,,B,M,12,ELA,1361,2022,H,5
Philosophy as Literature H,A,A,A,A,,A,F,12,ELA,1311,2022,H,5
Hiphop: LitCultureMusic CP,B,C,C,C,,C,M,12,ELA,1451,2022,CP,5
The Short Story H,A,A,A,A,,A,F,12,ELA,1341,2022,H,5
The Short Story ACP,A-,A-,B+,A-,,A-,F,12,ELA,1351,2022,ACP,5
The Short Story H,A,A-,A,B,,A-,M,12,ELA,1341,2022,H,5
AP English 12,A,B+,C+,B-,,B,F,12,ELA,1301,2022,H,5
Philosophy as Literature H,A,A-,B,B+,,A-,F,12,ELA,1311,2022,H,5
Hiphop: LitCultureMusic ACP,B-,B+,A-,B,,B,M,12,ELA,1441,2022,ACP,5
Philosophy as Literature H,A,A,A-,A-,,A,F,12,ELA,1311,2022,H,5
Hiphop: LitCultureMusic ACP,B-,C+,D+,D+,,C,M,12,ELA,1441,2022,ACP,5
The Short Story ACP,A,B-,C+,C,,B-,M,12,ELA,1351,2022,ACP,5
Lit and Comp for College ACP,A,A,A,A,,A,M,12,ELA,1421,2022,ACP,5
The Short Story H,A,A,A,A,,A,F,12,ELA,1341,2022,H,5
The Short Story H,A-,A-,B+,A-,,A,M,12,ELA,1341,2022,H,5
Hiphop: LitCultureMusic ACP,A,A-,A-,A-,,A-,F,12,ELA,1441,2022,ACP,5
Hiphop: LitCultureMusic CP,C+,B,C,F,,C-,F,12,ELA,1451,2022,CP,5
Diverse Perspectives in Lit H,A,B+,A,A,,A,F,12,ELA,1321,2022,H,5
Diverse Persp Literature ACP,A,A,A,A,,A,M,12,ELA,1331,2022,ACP,5
Art and Technique of Film H,B+,A-,B-,D+,,B-,M,12,ELA,1361,2022,H,5
Asian American Literature ACP,B,B,D,C,,C,F,12,ELA,1391,2022,ACP,5
Hiphop: LitCultureMusic ACP,A-,A,C+,B-,,B,M,12,ELA,1441,2022,ACP,5
Horror & SciFi Literature ACP,A,A,A,A,,A,M,12,ELA,1501,2022,ACP,5
Hiphop: LitCultureMusic ACP,D-,D+,F,D-,,D-,F,12,ELA,1441,2022,ACP,5
Women in Literature and Society H,A,A,A,A,,A,F,12,ELA,1401,2022,H,5
Asian American Literature ACP,A,A,A,A,,A,F,12,ELA,1391,2022,ACP,5
Philosophy as Literature H,A,A,A,A,,A,M,12,ELA,1311,2022,H,5
Horror & SciFi Literature ACP,A-,B-,A,A,,A-,M,12,ELA,1501,2022,ACP,5
Diverse Persp Literature ACP,A,B,A,A,,A-,F,12,ELA,1331,2022,ACP,5
Philosophy as Literature H,B+,B,B+,B,,B+,M,12,ELA,1311,2022,H,5
Philosophy as Literature H,A-,A-,A-,A-,,A-,M,12,ELA,1311,2022,H,5
Women in Literature and Society H,A,A,A,A,,A,F,12,ELA,1401,2022,H,5
AP English 12,A-,B,B+,C-,,B,M,12,ELA,1301,2022,H,5
AP English 12,A,A,A,A,,A,M,12,ELA,1301,2022,H,5
Creative  Writing,,,A,A-,,A,M,12,ELA,1611,2022,N,2.5
Diverse Perspectives in Lit H,A,B+,A-,A,,A,M,12,ELA,1321,2022,H,5
Philosophy as Literature H,A,A,A,A-,,A,M,12,ELA,1311,2022,H,5
Art and Technique of Film H,A,A,A,A,,A,M,12,ELA,1361,2022,H,5
Asian American Literature H,A,A,A,A,,A,F,12,ELA,1381,2022,H,5
Horror & SciFi Literature CP,A-,A-,A-,A,,A-,M,12,ELA,1511,2022,CP,5
Philosophy as Literature H,A,A,A,A,,A,M,12,ELA,1311,2022,H,5
Art and Technique of Film H,A-,A,A,A,,A,F,12,ELA,1361,2022,H,5
AP English 12,A,A,A,A,,A,M,12,ELA,1301,2022,H,5
Art and Technique of Film H,A,A,A-,A-,,A,M,12,ELA,1361,2022,H,5
Diverse Perspectives in Lit H,A,B,F,A-,,B-,F,12,ELA,1321,2022,H,5
Lit and Comp for College ACP,A,B,B,A,,A-,F,12,ELA,1421,2022,ACP,5
Horror & SciFi Literature ACP,B+,C+,A-,C+,,B-,M,12,ELA,1501,2022,ACP,5
Hiphop: LitCultureMusic ACP,B+,B,C,B,,B,M,12,ELA,1441,2022,ACP,5
Hiphop: LitCultureMusic CP,C,B-,B,B-,,B-,M,12,ELA,1451,2022,CP,5
AP English 12,A,A,A,A,,A,F,12,ELA,1301,2022,H,5
Lit and Comp for College ACP,B-,B,B,B,,B,M,12,ELA,1421,2022,ACP,5
The Short Story H,A,A,A,A,,A,F,12,ELA,1341,2022,H,5
Asian American Literature ACP,A,B,B+,A-,,B+,F,12,ELA,1391,2022,ACP,5
AP English 12,A,B+,A,B,,A-,F,12,ELA,1301,2022,H,5
AP English 12,A,A,A,A-,,A,F,12,ELA,1301,2022,H,5
Art and Technique of Film ACP,B+,B+,B-,D+,,B-,F,12,ELA,1371,2022,ACP,5
Art and Technique of Film ACP,B,B,C+,B,,B,F,12,ELA,1371,2022,ACP,5
Philosophy as Literature H,D+,F,F,B+,,P,F,12,ELA,1311,2022,H,5
Diverse Persp Literature ACP,A,B+,B+,A,,A-,F,12,ELA,1331,2022,ACP,5
Art and Technique of Film ACP,C,B+,C,B+,,B,F,12,ELA,1371,2022,ACP,5
AP English 12,A,A-,A,A,,A,F,12,ELA,1301,2022,H,5
Horror & SciFi Literature ACP,A-,A-,A,A,,A,M,12,ELA,1501,2022,ACP,5
Horror & SciFi Literature CP,B+,B,C+,A-,,B,M,12,ELA,1511,2022,CP,5
Art and Technique of Film ACP,A-,B-,B-,C+,,B,F,12,ELA,1371,2022,ACP,5
The Short Story H,A,A,A,A,,A,F,12,ELA,1341,2022,H,5
