DBN,School Name,School Code,,Beginning Balance,Total Income,Total Expenses,Ending Balance,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,%NonWhite,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,Total Enrollment,Raised per student
01M110,P.S. 110 Florence Nightingale,M110,M,61617.51,4457595.00,6669346.00,39600.00,59.00,0.16,37.00,0.10,168.00,0.45,12.00,0.03,96.00,0.26,0.74,46.00,0.12,8.00,0.02,210.00,0.57,0.59,372.00,11982.78
31R054,P.S. 054 Charles W. Leng,R054,R,548386.00,7887086.00,7275829.00,611257.00,274.00,0.35,51.00,0.07,157.00,0.20,18.00,0.02,287.00,0.37,0.64,197.00,0.25,49.00,0.06,487.00,0.62,0.50,787.00,10021.71
10X007,Milton Fein School,X007,X,1459545.00,2479770.00,1491944.00,987826.00,44.00,0.06,41.00,0.06,543.00,0.79,4.00,0.01,56.00,0.08,0.92,80.00,0.12,139.00,0.20,547.00,0.80,0.74,688.00,3604.32
03M087,P.S. 087 William Sherman,M087,M,1223341.00,2086338.00,839122.00,1247216.00,70.00,0.08,28.00,0.03,130.00,0.15,86.00,0.10,584.00,0.65,0.35,161.00,0.18,27.00,0.03,88.00,0.10,0.11,898.00,2323.32
28Q196,P.S. 196 Grand Central Parkway,Q196,Q,670309.59,2275423.19,1598248.33,677174.86,387.00,0.38,21.00,0.02,114.00,0.11,70.00,0.07,430.00,0.42,0.58,130.00,0.13,66.00,0.07,268.00,0.26,0.21,1022.00,2226.44
15K058,P.S. 058 The Carroll,K058,K,242679.00,2104019.00,1940381.00,163638.00,34.00,0.03,21.00,0.02,107.00,0.11,97.00,0.10,750.00,0.74,0.26,123.00,0.12,45.00,0.05,120.00,0.12,0.11,1009.00,2085.25
03M334,The Anderson School,M334,M,1825898.20,1030522.95,727172.71,2129248.44,152.00,0.29,13.00,0.03,47.00,0.09,59.00,0.11,251.00,0.48,0.52,42.00,0.08,1.00,0.00,78.00,0.15,0.14,522.00,1974.18
02M158,P.S. 158 Bayard Taylor,M158,M,0.00,1466193.00,1429344.00,36849.00,103.00,0.13,16.00,0.02,64.00,0.08,52.00,0.07,561.00,0.71,0.30,117.00,0.15,43.00,0.05,93.00,0.12,0.11,796.00,1841.95
15K029,P.S. 029 John M. Harrigan,K029,K,604229.00,1733654.00,1657418.00,680465.00,47.00,0.05,25.00,0.03,107.00,0.11,65.00,0.07,706.00,0.74,0.26,120.00,0.13,29.00,0.03,127.00,0.13,0.12,950.00,1824.90
13K008,P.S. 008 Robert Fulton,K008,K,486806.44,1567065.44,1055763.00,511302.40,58.00,0.06,124.00,0.14,115.00,0.13,76.00,0.08,528.00,0.59,0.41,101.00,0.11,26.00,0.03,176.00,0.20,0.18,901.00,1739.25
02M077,P.S. 77 Lower Lab School,M077,M,491073.00,589848.00,531821.00,549099.00,118.00,0.33,1.00,0.00,17.00,0.05,42.00,0.12,182.00,0.51,0.49,32.00,0.09,0.00,0.00,39.00,0.11,0.09,360.00,1638.47
03M054,J.H.S. 054 Booker T. Washington,M054,M,818222.56,1420260.77,521844.03,898416.74,100.00,0.12,69.00,0.08,135.00,0.16,76.00,0.09,487.00,0.56,0.44,119.00,0.14,10.00,0.01,168.00,0.19,0.23,867.00,1638.13
03M245,M.S. M245 The Computer School,M245,M,412311.00,622414.00,94518.00,527896.00,31.00,0.08,51.00,0.13,116.00,0.29,25.00,0.06,180.00,0.45,0.55,84.00,0.21,7.00,0.02,115.00,0.29,0.31,403.00,1544.45
02M041,P.S. 041 Greenwich Village,M041,M,627391.00,1023319.00,975740.00,673784.68,51.00,0.07,10.00,0.01,63.00,0.09,90.00,0.13,480.00,0.69,0.31,112.00,0.16,11.00,0.02,49.00,0.07,0.08,694.00,1474.52
02M130,P.S. 130 Hernando De Soto,M130,M,941845.00,1230293.00,358525.00,871768.00,749.00,0.87,7.00,0.01,48.00,0.06,30.00,0.04,24.00,0.03,0.97,139.00,0.16,137.00,0.16,385.00,0.45,0.55,858.00,1433.91
02M059,P.S. 059 Beekman Hill International,M059,M,580951.59,851102.86,864103.82,567950.18,119.00,0.20,8.00,0.01,63.00,0.11,61.00,0.10,347.00,0.58,0.42,83.00,0.14,28.00,0.05,68.00,0.11,0.08,598.00,1423.25
02M006,P.S. 006 Lillie D. Blake,M006,M,1220153.00,936143.84,1068005.26,1033236.92,115.00,0.17,16.00,0.02,41.00,0.06,11.00,0.02,488.00,0.73,0.27,103.00,0.15,22.00,0.03,82.00,0.12,0.10,671.00,1395.15
10X696,High School of American Studies at Lehman College,X696,X,345663.12,565302.87,111110.24,454192.63,89.00,0.22,16.00,0.04,40.00,0.10,33.00,0.08,233.00,0.57,0.43,11.00,0.03,0.00,0.00,98.00,0.24,0.25,411.00,1375.43
13K492,Academy of Arts and Letters,K492,K,136048.00,679998.00,546450.00,133548.00,31.00,0.06,158.00,0.30,81.00,0.15,50.00,0.10,208.00,0.39,0.61,110.00,0.21,3.00,0.01,118.00,0.22,0.30,528.00,1287.88
03M009,P.S. 009 Sarah Anderson,M009,M,0.00,783805.00,821096.00,37291.00,52.00,0.09,29.00,0.05,111.00,0.18,57.00,0.09,362.00,0.59,0.41,111.00,0.18,14.00,0.02,135.00,0.22,0.18,611.00,1282.82
03M243,M.S. 243 Center School,M243,M,82862.28,289862.79,178441.93,111420.86,12.00,0.05,25.00,0.10,44.00,0.18,23.00,0.10,137.00,0.57,0.43,42.00,0.17,0.00,0.00,33.00,0.14,0.21,241.00,1202.75
02M281,The River School,M281,M,154783.11,398871.55,182349.11,216522.44,110.00,0.33,31.00,0.09,42.00,0.12,16.00,0.05,139.00,0.41,0.59,53.00,0.16,59.00,0.18,102.00,0.30,0.19,338.00,1180.09
13K011,P.S. 011 Purvis J. Behan,K011,K,17196623.00,1046661.40,865775.97,180885.43,22.00,0.03,546.00,0.61,122.00,0.14,80.00,0.09,124.00,0.14,0.86,92.00,0.10,12.00,0.01,351.00,0.39,0.44,894.00,1170.76
02M290,P.S. 290 Manhattan New School,M290,M,930581.76,683811.55,778843.80,835549.51,65.00,0.11,17.00,0.03,56.00,0.09,36.00,0.06,421.00,0.71,0.29,85.00,0.14,13.00,0.02,79.00,0.13,0.09,595.00,1149.26
03M452,P.S. 452,M452,M,438791.00,427044.00,486809.00,364542.00,49.00,0.13,48.00,0.13,60.00,0.16,11.00,0.03,208.00,0.55,0.45,67.00,0.18,17.00,0.05,115.00,0.31,0.28,376.00,1135.76
02M150,P.S. 150,M150,M,377010.00,204576.00,255827.00,325759.00,39.00,0.21,1.00,0.01,18.00,0.10,17.00,0.09,114.00,0.60,0.40,21.00,0.11,4.00,0.02,33.00,0.18,0.14,189.00,1082.41
