FIPS,Disasters,Name
22021,35,"Caldwell , LA"
22023,37,"Cameron , LA"
22025,42,"Catahoula , LA"
,6652,#N/A
1001,23,"Autauga County, AL"
1003,37,"Baldwin County, AL"
1005,27,"Barbour County, AL"
1007,19,"Bibb County, AL"
1009,24,"Blount County, AL"
1011,23,"Bullock County, AL"
1013,27,"Butler County, AL"
1015,22,"Calhoun County, AL"
1017,21,"Chambers County, AL"
1019,24,"Cherokee County, AL"
1021,23,"Chilton County, AL"
1023,27,"Choctaw County, AL"
1025,27,"Clarke County, AL"
1027,23,"Clay County, AL"
1029,21,"Cleburne County, AL"
1031,29,"Coffee County, AL"
1033,22,"Colbert County, AL"
1035,26,"Conecuh County, AL"
1037,21,"Coosa County, AL"
1039,32,"Covington County, AL"
1041,28,"Crenshaw County, AL"
1043,31,"Cullman County, AL"
1045,32,"Dale County, AL"
1047,26,"Dallas County, AL"
1049,33,"DeKalb County, AL"
1051,22,"Elmore County, AL"
1053,26,"Escambia County, AL"
1055,28,"Etowah County, AL"
1057,20,"Fayette County, AL"
1059,21,"Franklin County, AL"
1061,32,"Geneva County, AL"
1063,21,"Greene County, AL"
1065,22,"Hale County, AL"
1067,27,"Henry County, AL"
1069,27,"Houston County, AL"
1071,27,"Jackson County, AL"
1073,38,"Jefferson County, AL"
1075,25,"Lamar County, AL"
1077,18,"Lauderdale County, AL"
1079,21,"Lawrence County, AL"
1081,21,"Lee County, AL"
1083,21,"Limestone County, AL"
1085,19,"Lowndes County, AL"
1087,24,"Macon County, AL"
1089,20,"Madison County, AL"
1091,19,"Marengo County, AL"
1093,24,"Marion County, AL"
1095,28,"Marshall County, AL"
1097,39,"Mobile County, AL"
1099,25,"Monroe County, AL"
1101,23,"Montgomery County, AL"
1103,22,"Morgan County, AL"
1105,23,"Perry County, AL"
1107,18,"Pickens County, AL"
1109,22,"Pike County, AL"
1111,23,"Randolph County, AL"
1113,23,"Russell County, AL"
1115,29,"St. Clair County, AL"
1117,25,"Shelby County, AL"
1119,19,"Sumter County, AL"
1121,24,"Talladega County, AL"
1123,18,"Tallapoosa County, AL"
1125,27,"Tuscaloosa County, AL"
1127,24,"Walker County, AL"
1129,26,"Washington County, AL"
1131,21,"Wilcox County, AL"
1133,24,"Winston County, AL"
4001,15,"Apache County, AZ"
4003,14,"Cochise County, AZ"
4005,24,"Coconino County, AZ"
4007,23,"Gila County, AZ"
4009,13,"Graham County, AZ"
4011,13,"Greenlee County, AZ"
4012,7,"La Paz County, AZ"
4013,23,"Maricopa County, AZ"
4015,15,"Mohave County, AZ"
4017,21,"Navajo County, AZ"
4019,15,"Pima County, AZ"
4021,20,"Pinal County, AZ"
4023,8,"Santa Cruz County, AZ"
4025,26,"Yavapai County, AZ"
4027,6,"Yuma County, AZ"
5001,17,"Arkansas County, AR"
5003,13,"Ashley County, AR"
5005,18,"Baxter County, AR"
5007,22,"Benton County, AR"
5009,20,"Boone County, AR"
5011,23,"Bradley County, AR"
5013,19,"Calhoun County, AR"
5015,18,"Carroll County, AR"
5017,16,"Chicot County, AR"
5019,21,"Clark County, AR"
5021,22,"Clay County, AR"
5023,21,"Cleburne County, AR"
5025,18,"Cleveland County, AR"
5027,20,"Columbia County, AR"
5029,27,"Conway County, AR"
5031,25,"Craighead County, AR"
5033,24,"Crawford County, AR"
5035,18,"Crittenden County, AR"
5037,20,"Cross County, AR"
5039,18,"Dallas County, AR"
5041,17,"Desha County, AR"
5043,17,"Drew County, AR"
5045,25,"Faulkner County, AR"
5047,25,"Franklin County, AR"
5049,24,"Fulton County, AR"
5051,18,"Garland County, AR"
5053,16,"Grant County, AR"
5055,23,"Greene County, AR"
5057,23,"Hempstead County, AR"
5059,16,"Hot Spring County, AR"
5061,20,"Howard County, AR"
5063,28,"Independence County, AR"
5065,27,"Izard County, AR"
5067,31,"Jackson County, AR"
5069,22,"Jefferson County, AR"
5071,24,"Johnson County, AR"
5073,18,"Lafayette County, AR"
5075,19,"Lawrence County, AR"
5077,15,"Lee County, AR"
5079,21,"Lincoln County, AR"
5081,20,"Little River County, AR"
5083,21,"Logan County, AR"
5085,24,"Lonoke County, AR"
5087,27,"Madison County, AR"
5089,24,"Marion County, AR"
5091,18,"Miller County, AR"
5093,18,"Mississippi County, AR"
5095,24,"Monroe County, AR"
5097,21,"Montgomery County, AR"
5099,21,"Nevada County, AR"
5101,27,"Newton County, AR"
5103,24,"Ouachita County, AR"
5105,23,"Perry County, AR"
5107,16,"Phillips County, AR"
5109,20,"Pike County, AR"
5111,28,"Poinsett County, AR"
5113,22,"Polk County, AR"
5115,17,"Pope County, AR"
5117,19,"Prairie County, AR"
5119,29,"Pulaski County, AR"
5121,22,"Randolph County, AR"
5123,19,"St. Francis County, AR"
5125,20,"Saline County, AR"
5127,20,"Scott County, AR"
5129,22,"Searcy County, AR"
5131,19,"Sebastian County, AR"
5133,15,"Sevier County, AR"
5135,21,"Sharp County, AR"
5137,25,"Stone County, AR"
5139,18,"Union County, AR"
5141,23,"Van Buren County, AR"
5143,18,"Washington County, AR"
5145,26,"White County, AR"
5147,25,"Woodruff County, AR"
5149,20,"Yell County, AR"
6001,23,"Alameda County, CA"
6003,12,"Alpine County, CA"
6005,18,"Amador County, CA"
6007,34,"Butte County, CA"
6009,20,"Calaveras County, CA"
6011,19,"Colusa County, CA"
6013,21,"Contra Costa County, CA"
6015,18,"Del Norte County, CA"
6017,24,"El Dorado County, CA"
6019,18,"Fresno County, CA"
6021,18,"Glenn County, CA"
6023,25,"Humboldt County, CA"
6025,12,"Imperial County, CA"
6027,12,"Inyo County, CA"
6029,36,"Kern County, CA"
6031,17,"Kings County, CA"
6033,32,"Lake County, CA"
6035,19,"Lassen County, CA"
6037,78,"Los Angeles County, CA"
6039,22,"Madera County, CA"
6041,25,"Marin County, CA"
6043,20,"Mariposa County, CA"
6045,31,"Mendocino County, CA"
6047,17,"Merced County, CA"
6049,16,"Modoc County, CA"
6051,12,"Mono County, CA"
6053,30,"Monterey County, CA"
6055,36,"Napa County, CA"
6057,20,"Nevada County, CA"
6059,40,"Orange County, CA"
6061,25,"Placer County, CA"
6063,21,"Plumas County, CA"
6065,62,"Riverside County, CA"
6067,21,"Sacramento County, CA"
6069,16,"San Benito County, CA"
6071,57,"San Bernardino County, CA"
6073,49,"San Diego County, CA"
6075,8,"San Francisco County, CA"
6077,23,"San Joaquin County, CA"
6079,25,"San Luis Obispo County, CA"
6081,22,"San Mateo County, CA"
6083,40,"Santa Barbara County, CA"
6085,23,"Santa Clara County, CA"
6087,31,"Santa Cruz County, CA"
6089,40,"Shasta County, CA"
6091,14,"Sierra County, CA"
6093,22,"Siskiyou County, CA"
6095,28,"Solano County, CA"
6097,34,"Sonoma County, CA"
6099,17,"Stanislaus County, CA"
6101,18,"Sutter County, CA"
6103,23,"Tehama County, CA"
6105,30,"Trinity County, CA"
6107,21,"Tulare County, CA"
6109,18,"Tuolumne County, CA"
6111,49,"Ventura County, CA"
6113,22,"Yolo County, CA"
6115,27,"Yuba County, CA"
8001,12,"Adams County, CO"
8003,7,"Alamosa County, CO"
8005,11,"Arapahoe County, CO"
8007,7,"Archuleta County, CO"
8009,10,"Baca County, CO"
8011,9,"Bent County, CO"
8013,18,"Boulder County, CO"
8014,6,"Broomfield County, CO"
8015,5,"Chaffee County, CO"
8017,8,"Cheyenne County, CO"
