State,OPOD2021,OPALL2021,OPOD2018,OPALL2018,OPOD2015,OPALL2015,OPOD2012,OPALL2012,OPOD2009,OPALL2009,OPOD2006,OPALL2006
Alabama,21.2,30.1,8.3,16.6,6.1,15.7,3.6,12.1,4.5,13.6,2.7,8.7
Alaska,27.6,35.6,8.8,14.6,11,16,10.8,17.4,12.5,17.9,4.1,11.1
Arizona,28.8,38.7,15.9,23.8,10.2,19,8.2,17.7,9.8,16.1,7.8,14.9
Arkansas,13.7,22.3,7.4,15.7,7.2,13.8,6,13.1,7.2,12.6,5.1,10.5
California,17.8,26.6,5.8,12.8,4.9,11.3,4.4,10.3,5.2,10.7,4.1,9.6
Colorado,21.7,31.4,9.5,16.8,8.7,15.4,7.7,15,7.7,15,6.7,12.8
Connecticut,38.3,42.3,27.5,30.7,19.2,22.1,5.7,12.1,6.2,11,6.4,11.5
Delaware,48.1,54,39.3,43.8,14.8,22,9.2,15.2,9.3,15.4,4.5,9.4
District of Columbia,48.9,63.6,26.7,35.4,14.5,18.6,7.3,12.6,8,4.1,9.6,17.8
Florida,28.9,37.5,15.8,22.8,9.4,16.2,6.9,13.3,8.7,16.7,6.9,14.4
Georgia,17.1,23.5,8.3,13.2,8.4,12.7,5.4,10.6,5,10.3,3.6,8.9
Hawaii,6.1,17.3,4.1,14.3,4.1,11.3,4.5,11,4.1,9.6,4,6.4
Idaho,12.8,19,7.1,14.6,6,14.2,3.9,11.9,4.2,11.6,5,9.3
Illinois,23.7,29,17,21.3,10.7,14.1,8.9,12.5,6.9,10.8,6.9,10.9
Indiana,34.2,43,17.5,25.6,8.5,19.5,5.9,16,5,14,2.8,11.8
Iowa,8.6,15.3,4.8,9.6,5.8,10.3,5.9,8.7,4.9,7.1,3.3,6.6
Kansas,15.7,24.3,5.7,12.4,5.4,11.8,6.3,11.5,5.5,11.1,4.5,9.5
Kentucky,44.8,55.6,23.4,30.9,21,29.9,15.5,25,10.2,18,8,17.4
Louisiana,30.5,55.9,10,25.4,6.3,19,3.7,12.3,2.8,13.1,4.6,16.5
Maine,42.4,47.1,23.4,27.9,19.3,21.2,7.9,11.5,8.7,12.7,7.3,12
Maryland,38.5,42.8,33.7,37.2,17.7,20.9,10.9,13.7,9.9,12.5,9.7,13.2
Massachusetts,32.5,36.8,29.3,32.8,23.3,25.7,10.4,12.7,9.4,12.2,10.1,14.7
Michigan,26,31.5,20.8,26.6,13.6,20.4,7.1,13.5,7.5,14.5,6,11.7
Minnesota,17.9,24.5,6.3,11.5,6.2,10.6,5.3,8.9,5.2,7.9,3,5.9
Mississippi,20.3,28.4,6.1,10.8,5.3,12.3,3.9,10.7,3.4,11.2,2.3,12.1
Missouri,27.1,36.5,19.6,27.5,11.7,17.9,9.3,16.2,9,14.6,7.1,13
Montana,11.1,19.5,6.2,12.2,5,13.8,5.3,11.9,9.4,14.6,5.2,10.2
Nebraska,6,11.4,3.3,7.4,3.1,6.9,3,7.9,3.7,5.9,1.9,5.4
Nevada,18.9,29.2,11.5,21.2,13.8,20.4,15.6,21,15.9,20.1,13.4,18
New Hampshire,28.4,32.3,33.1,35.8,31.3,34.3,10.5,13.4,9.5,12.5,7.9,11.2
New Jersey,28.6,32.4,29.7,33.1,9.8,16.3,6.8,13.7,0.7,3,4.3,9.7
New Mexico,37.2,51.6,16.7,26.7,17.9,25.3,16.1,24.7,10.2,22,12.5,21.8
New York,24.5,28.7,15.1,18.4,10.8,13.6,7.6,10.4,5.4,8,5.2,8.6
North Carolina,33.3,39.2,17.9,22.4,11.9,15.8,8.6,13.3,9.1,12.6,7.8,11.8
North Dakota,10.2,17.2,5.2,10.2,4.8,8.6,2,3.1,2.3,4.4,2.1,3.8
Ohio,40.1,48.1,29.6,35.9,24.7,29.9,12.3,18.9,5.9,10.9,5.6,13.2
Oklahoma,12.1,24.4,7.8,18.4,11.2,19,14.2,20.6,15.5,20.6,11.1,16.2
Oregon,18.1,26.8,8,12.6,7.9,12,9.2,12.5,9.5,12.9,9.6,12.9
Pennsylvania,32.8,43.2,23.8,36.1,11.2,26.3,6.8,19,5.2,15.2,3.5,13.5
Rhode Island,35.9,41.7,25.9,30.1,23.5,28.2,13.2,18.2,10.6,14.8,12.2,16.4
South Carolina,35,42.8,17.1,22.6,11.4,15.7,5.1,12.5,5.2,13.3,4.9,12.7
South Dakota,5.7,12.6,3.5,6.9,3.5,8.4,3.1,5.5,4.6,6.7,3.3,5.1
Tennessee,45.5,56.6,19.9,27.5,16,22.2,11.4,17.6,8.5,15.2,7.7,16
Texas,9.4,16.8,4.8,10.4,4.7,9.4,4.4,9.4,4.6,9.8,4.6,9.5
Utah,14.1,21.1,14.8,21.2,15.9,23.4,16.1,23.1,14.7,19.1,13.9,19.1
Vermont,37.4,42.3,22.8,26.6,13.4,16.7,8.6,10.9,6,8.3,9.4,12.2
Virginia,26,30.5,14.3,17.1,9.9,12.4,6.5,8.9,5.9,8.5,5.3,8
Washington,20.5,28.1,9.4,14.8,9.3,14.7,9.7,13.7,10.2,14.3,10,13.6
West Virginia,77.2,90.9,42.4,51.5,36,41.5,27.1,32,10.3,12.4,16.1,20.4
Wisconsin,25.9,31.6,15.3,19.2,11.2,15.5,8.6,12.2,6.9,10.9,6,10.6
Wyoming,12.4,18.9,6.8,11.1,7.9,16.4,7.7,16.8,5.7,11,5.8,10.6
