Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Abuelos,2023-01-25 21:08:18,00:18:40,,La Reina del Sur: Temporada 3: Morir para vivir (Capítulo 1),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:18:41,00:18:41,GT (Guatemala)
Abuelos,2023-01-25 03:21:16,00:00:21,Autoplayed: user action: None; ,La Reina del Sur: Temporada 3 (Tráiler),TRAILER,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:21,00:00:21,GT (Guatemala)
Abuelos,2023-01-25 02:15:21,01:05:52,,90 minutos en el Cielo,,Samsung CE 2019 Muse-L UHD TV Smart TV,02:00:48,02:00:48,GT (Guatemala)
Abuelos,2023-01-24 02:36:54,00:54:59,,90 minutos en el Cielo,,Samsung CE 2019 Muse-L UHD TV Smart TV,00:54:59,Not latest view,GT (Guatemala)
Abuelos,2023-01-22 22:08:49,00:00:56,Autoplayed: user action: None; ,90 Minutes in Heaven_hook_primary_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:56,00:00:56,GT (Guatemala)
Abuelos,2023-01-22 22:07:10,00:00:38,Autoplayed: user action: None; ,Flight_hook_primary_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:38,00:00:38,GT (Guatemala)
Abuelos,2023-01-22 22:06:51,00:00:13,Autoplayed: user action: None; ,Amor adulto (Clip): Amor adulto,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:13,00:00:13,GT (Guatemala)
Abuelos,2023-01-22 22:06:39,00:00:08,Autoplayed: user action: None; ,Emboscada final (Tráiler),TRAILER,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:08,00:00:08,GT (Guatemala)
Abuelos,2023-01-22 22:04:38,00:00:57,Autoplayed: user action: None; ,Inseparables_hook_05_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:57,00:00:57,GT (Guatemala)
Abuelos,2023-01-22 22:04:13,00:00:05,Autoplayed: user action: None; ,El amante de lady Chatterley (Clip): El amante de lady Chatterley,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:05,00:00:05,GT (Guatemala)
Abuelos,2023-01-22 22:03:26,00:00:21,Autoplayed: user action: None; ,Scarface_hook_primary_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:21,00:00:21,GT (Guatemala)
Abuelos,2023-01-22 22:03:13,00:00:09,Autoplayed: user action: None; ,Farewell Mr. Haffmann_hook_primary_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:09,00:00:09,GT (Guatemala)
