,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Season,ID,Team,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,Season,ID
25,Atlanta,82.0,48.4,94.3,36.6,83.0,0.441,3.1,9.9,0.317,18.0,24.2,0.743,14.0,31.3,45.3,18.9,6.1,5.6,15.4,21.0,2000,Atlanta2000,Atlanta,0.503,0.46,150.1,31.7,71.0,51.3,51.6,14.1,6.6,7.6,1.1,53.9,102.0,107.9,-5.8,"7,580.7",91.7,2000,Atlanta2000
26,Atlanta,82,48.1,91.0,35.1,81.3,.431,4.1,11.4,.357,16.8,22.1,.759,12.5,30.4,42.9,19.0,7.7,4.7,16.7,22.7,2001,Atlanta2001,Atlanta,.500,.456,154.7,28.9,70.8,49.7,54.2,15.5,8.4,7.0,1.1,50.2,98.7,104.3,-5.7,"7,557.5",91.9,2001,Atlanta2001
19,Atlanta,82,48.2,94.0,35.4,80.6,.439,5.2,14.6,.354,18.1,23.7,.765,11.6,29.8,41.5,20.2,8.1,4.3,15.5,20.7,2002,Atlanta2002,Atlanta,.517,.471,155.8,27.5,70.9,49.1,57.0,14.6,8.8,6.5,1.2,54.2,101.8,106.4,-4.6,"7,572.1",91.9,2002,Atlanta2002
18,Atlanta,82,48.5,94.1,34.9,78.5,.444,4.9,13.9,.352,19.4,24.5,.793,11.4,31.2,42.6,20.5,7.5,5.8,16.7,21.7,2003,Atlanta2003,Atlanta,.527,.476,158.9,27.9,70.5,50.0,58.7,15.7,8.1,8.4,1.2,55.2,102.2,106.1,-3.9,"7,544.5",91.0,2003,Atlanta2003
15,Atlanta,82,48.5,92.8,34.5,79.6,.433,5.1,15.2,.335,18.7,24.1,.776,12.1,30.6,42.7,20.1,7.6,5.0,16.1,22.3,2004,Atlanta2004,Atlanta,.514,.465,154.5,28.6,70.5,49.8,58.3,15.2,8.4,7.6,1.2,53.2,101.4,106.5,-5.1,"7,506.8",90.5,2004,Atlanta2004
28,Atlanta,82,48.4,92.7,35.9,81.4,.441,3.7,11.9,.312,17.3,24.3,.711,13.4,28.5,41.9,19.7,7.7,4.2,16.1,24.5,2005,Atlanta2005,Atlanta,.504,.464,146.4,30.7,72.1,50.4,54.9,14.9,8.3,6.7,1.1,50.0,100.6,111.1,-10.5,"7,562.2",91.4,2005,Atlanta2005
16,Atlanta,82,48.5,97.2,35.9,79.2,.454,5.2,14.1,.367,20.2,26.9,.750,13.0,27.2,40.3,19.8,7.2,4.8,15.3,25.0,2006,Atlanta2006,Atlanta,.534,.486,157.1,31.4,69.5,49.9,55.2,14.4,7.9,7.5,1.2,53.7,106.9,112.2,-5.2,"7,455.8",90.0,2006,Atlanta2006
30,Atlanta,82,48.5,93.7,34.5,77.7,.444,4.2,12.7,.329,20.5,26.9,.761,11.9,28.2,40.1,19.2,7.4,5.4,15.9,24.0,2007,Atlanta2007,Atlanta,.523,.471,153.4,29.2,70.9,49.8,55.6,15.1,8.2,8.7,1.2,51.5,103.0,108.3,-5.2,"7,454.8",90.0,2007,Atlanta2007
15,Atlanta,82,48.4,98.2,36.3,79.9,.454,4.7,13.1,.356,21.0,27.2,.772,12.3,29.9,42.2,22.0,7.3,5.5,14.9,20.4,2008,Atlanta2008,Atlanta,.535,.483,158.3,29.7,71.7,50.8,60.6,14.0,8.0,8.4,1.2,59.9,106.9,108.9,-2.0,"7,533.6",91.1,2008,Atlanta2008
19,Atlanta,82,48.1,98.1,36.0,78.7,.458,7.3,19.9,.366,18.7,25.4,.737,10.6,29.4,40.0,20.2,7.4,4.6,12.8,19.6,2009,Atlanta2009,Atlanta,.546,.504,156.1,26.0,71.6,48.9,56.1,12.5,8.2,7.4,1.2,59.8,109.3,107.6,1.8,"7,358.7",89.6,2009,Atlanta2009
13,Atlanta,82,48.4,101.7,38.8,82.9,.468,6.4,17.7,.360,17.7,23.3,.759,11.8,29.9,41.7,21.8,7.2,5.0,12.0,19.9,2010,Atlanta2010,Atlanta,.545,.506,158.6,28.2,72.7,50.2,56.2,11.4,7.9,7.9,1.2,63.7,111.9,106.7,5.1,"7,454.3",90.1,2010,Atlanta2010
26,Atlanta,82,48.1,95.0,36.2,78.4,.462,6.1,17.4,.352,16.4,21.1,.779,9.3,30.0,39.3,22.0,6.1,4.2,13.6,19.0,2011,Atlanta2011,Atlanta,.542,.501,159.3,23.4,74.6,49.2,60.7,13.5,6.8,6.6,1.2,57.5,106.1,107.0,-0.9,"7,343.2",89.3,2011,Atlanta2011
17,Atlanta,66,49.0,96.6,36.8,81.0,.454,7.5,20.2,.370,15.5,21.0,.740,9.9,31.3,41.2,22.4,8.1,4.6,14.0,17.8,2012,Atlanta2012,Atlanta,.535,.500,156.4,23.9,74.4,49.3,61.0,13.4,8.8,7.2,1.2,60.1,104.9,101.2,3.7,"6,076.5",90.2,2012,Atlanta2012
14,Atlanta,82,48.4,98.0,37.6,81.0,.464,8.6,23.2,.371,14.1,19.7,.715,9.2,31.6,40.9,24.5,8.1,4.5,14.9,18.0,2013,Atlanta2013,Atlanta,.546,.517,155.1,22.2,73.6,48.3,65.1,14.2,8.7,7.1,1.2,62.7,104.8,104.4,0.4,"7,663.4",92.6,2013,Atlanta2013
15,Atlanta,82,48.4,101.0,37.3,81.6,.458,9.4,25.8,.363,17.0,21.7,.781,8.7,31.3,40.0,24.9,8.3,4.0,15.3,19.2,2014,Atlanta2014,Atlanta,.554,.515,160.2,21.0,74.4,47.9,66.7,14.3,8.7,6.5,1.2,63.0,105.9,106.4,-0.5,"7,818.9",94.6,2014,Atlanta2014
10,Atlanta,82,48.1,102.5,38.1,81.7,.466,10.0,26.2,.380,16.5,21.2,.778,8.7,31.8,40.6,25.7,9.1,4.6,14.2,17.8,2015,Atlanta2015,Atlanta,.563,.527,162.4,21.4,73.4,48.2,67.6,13.5,9.7,8.1,1.3,68.4,108.9,103.1,5.8,"7,722.2",93.9,2015,Atlanta2015
12,Atlanta,82,48.4,102.8,38.6,84.4,.458,9.9,28.4,.350,15.6,20.0,.783,8.3,33.8,42.1,25.6,9.1,5.9,15.0,19.1,2016,Atlanta2016,Atlanta,.552,.516,159.1,19.1,74.6,47.5,66.3,13.8,9.3,9.6,1.2,67.7,105.1,101.4,3.7,"8,025.4",97.1,2016,Atlanta2016
22,Atlanta,82,48.5,103.2,38.1,84.4,.451,8.9,26.1,.341,18.1,24.9,.728,10.3,34.1,44.3,23.6,8.2,4.8,15.8,18.2,2017,Atlanta2017,Atlanta,.541,.504,152.0,23.6,76.1,50.3,62.1,14.2,8.3,8.5,1.2,64.5,104.9,105.8,-0.9,"8,064.7",97.4,2017,Atlanta2017
25,Atlanta,82,48.1,103.4,38.2,85.5,.446,11.2,31.0,.360,15.8,20.2,.785,9.1,32.8,41.9,23.7,7.8,4.2,15.9,19.6,2018,Atlanta2018,Atlanta,.547,.512,159.1,21.1,76.2,48.7,62.2,14.4,7.9,7.6,1.2,62.7,104.7,110.2,-5.5,"8,096.5",98.6,2018,Atlanta2018
12,Atlanta,82,48.4,113.3,41.4,91.8,.451,13.0,37.0,.352,17.6,23.4,.752,11.6,34.5,46.1,25.8,8.2,5.1,17.0,23.6,2019,Atlanta2019,Atlanta,.555,.522,155.5,24.7,76.4,50.0,62.4,14.3,7.9,9.1,1.2,69.1,108.2,113.9,-5.7,"8,593.4",103.9,2019,Atlanta2019
17,Atlanta,67,48.6,111.8,40.6,90.6,.449,12.0,36.1,.333,18.5,23.4,.790,9.9,33.4,43.3,24.0,7.8,5.1,16.2,23.1,2020,Atlanta2020,Atlanta,.554,.515,157.2,21.6,74.9,47.9,58.9,13.8,7.5,8.8,1.2,65.1,107.2,114.8,-7.6,"6,987.8",103.0,2020,Atlanta2020
13,Atlanta,72,48.3,113.7,40.8,87.2,.468,12.4,33.4,.373,19.7,24.2,.812,10.6,35.1,45.6,24.1,7.0,4.8,13.2,19.3,2021,Atlanta2021,Atlanta,.581,.539,165.2,24.4,77.8,51.7,59.1,11.9,7.1,8.6,1.3,73.6,115.7,113.3,2.4,"7,075.7",97.6,2021,Atlanta2021
6,Atlanta,82,48.1,113.9,41.5,88.3,.470,12.9,34.4,.374,18.1,22.3,.812,10.0,33.9,44.0,24.6,7.2,4.2,11.8,18.7,2022,Atlanta2022,Atlanta,.581,.543,165.6,23.0,76.9,50.1,59.3,10.8,7.3,7.9,1.3,74.6,116.5,114.9,1.6,"8,017.7",97.7,2022,Atlanta2022
3,Atlanta,82,48.4,118.4,44.6,92.4,.483,10.8,30.5,.352,18.5,22.6,.818,11.2,33.2,44.4,25.0,7.1,4.9,12.9,18.8,2023,Atlanta2023,Atlanta,.579,.541,165.3,25.1,75.8,50.2,56.0,11.2,7.0,8.6,1.3,75.5,116.6,116.3,0.3,"8,328.4",100.7,2023,Atlanta2023
9,Boston,82.0,48.1,99.3,37.2,83.9,0.444,5.1,15.4,0.331,19.8,26.5,0.745,13.5,29.5,43.0,21.2,9.7,3.5,15.4,27.1,2000,Boston2000,Boston,0.52,0.474,152.0,30.4,73.8,51.0,57.0,13.8,10.2,5.4,1.2,56.2,104.8,105.6,-0.8,"7,775.4",94.6,2000,Boston2000
16,Boston,82,48.4,94.6,33.8,79.1,.428,7.2,19.9,.363,19.8,26.7,.740,10.9,28.9,39.8,20.8,9.4,4.1,15.7,23.8,2001,Boston2001,Boston,.521,.473,153.0,25.3,72.6,48.0,61.6,14.7,10.0,6.4,1.2,53.4,101.5,103.8,-2.3,"7,646.8",92.5,2001,Boston2001
12,Boston,82,48.4,96.4,34.8,82.1,.424,8.5,23.7,.359,18.3,23.9,.764,10.9,31.3,42.2,21.0,9.7,3.6,13.6,21.6,2002,Boston2002,Boston,.520,.476,154.7,24.1,72.9,47.9,60.4,12.8,10.4,5.8,1.2,57.9,103.4,101.0,2.4,"7,640.8",92.5,2002,Boston2002
22,Boston,82,48.4,92.7,32.9,79.4,.415,8.8,26.3,.334,18.0,24.3,.742,10.4,30.1,40.5,19.2,8.8,3.7,14.0,21.4,2003,Boston2003,Boston,.514,.470,149.1,23.6,72.5,47.4,58.3,13.4,9.6,6.0,1.2,52.9,101.2,101.6,-0.4,"7,509.1",90.9,2003,Boston2003
8,Boston,82,48.1,95.3,34.7,78.2,.443,6.7,19.5,.346,19.2,25.5,.750,10.4,29.8,40.1,20.5,9.4,4.0,16.1,22.4,2004,Boston2004,Boston,.532,.486,153.9,25.2,69.5,47.8,59.2,15.3,10.1,6.5,1.2,55.2,102.3,103.9,-1.6,"7,633.6",93.0,2004,Boston2004
5,Boston,82,48.5,101.3,37.1,79.4,.468,5.3,15.3,.349,21.6,28.3,.764,11.1,29.7,40.8,22.1,8.1,5.2,15.8,24.4,2005,Boston2005,Boston,.551,.501,158.1,27.2,70.1,49.1,59.4,14.7,8.6,8.0,1.3,59.3,107.5,106.6,0.9,"7,723.4",93.2,2005,Boston2005
12,Boston,82,48.5,98.0,36.0,77.1,.467,5.7,15.7,.362,20.3,26.9,.755,9.9,29.7,39.6,20.9,7.0,5.1,16.2,24.8,2006,Boston2006,Boston,.551,.504,158.4,25.5,72.8,49.7,58.1,15.4,7.6,8.1,1.3,55.1,105.8,107.4,-1.7,"7,595.9",91.7,2006,Boston2006
22,Boston,82,48.4,95.8,34.9,78.7,.443,5.7,15.6,.367,20.4,26.6,.767,11.2,29.2,40.4,19.9,7.2,4.7,16.7,24.0,2007,Boston2007,Boston,.530,.479,157.7,27.0,73.8,49.9,57.0,15.6,7.8,7.5,1.2,52.0,103.1,106.7,-3.7,"7,623.3",92.1,2007,Boston2007
11,Boston,82,48.2,100.5,36.4,76.7,.475,7.3,19.1,.381,20.5,26.5,.771,10.1,31.9,42.0,22.4,8.5,4.6,15.2,22.7,2008,Boston2008,Boston,.569,.522,162.7,26.6,74.4,51.9,61.4,14.7,9.3,7.9,1.3,63.1,110.2,98.9,11.2,"7,483.8",90.9,2008,Boston2008
11,Boston,82,48.5,100.9,37.5,77.2,.486,6.6,16.5,.397,19.4,25.3,.765,10.6,31.5,42.1,22.7,7.6,4.7,15.6,23.1,2009,Boston2009,Boston,.571,.528,164.7,27.9,75.6,52.8,60.6,15.0,8.3,7.8,1.3,62.3,110.5,102.3,8.2,"7,487.4",90.4,2009,Boston2009
19,Boston,82,48.2,99.2,37.1,76.8,.483,6.1,17.5,.348,19.0,25.5,.746,8.7,29.9,38.6,23.5,8.5,4.9,14.9,22.1,2010,Boston2010,Boston,.564,.522,157.7,22.8,73.8,49.1,63.5,14.5,9.3,8.0,1.3,61.6,107.7,103.8,4.0,"7,552.2",91.6,2010,Boston2010
23,Boston,82,48.2,96.5,36.9,75.8,.486,5.0,13.6,.365,17.8,23.1,.770,7.8,31.0,38.8,23.4,8.2,4.2,14.6,20.5,2011,Boston2011,Boston,.561,.519,162.1,21.1,74.7,49.5,63.5,14.5,9.1,6.8,1.3,60.6,106.2,100.3,5.9,"7,448.3",90.4,2011,Boston2011
26,Boston,66,48.3,91.8,35.5,77.1,.460,5.5,15.0,.367,15.4,19.8,.778,7.7,31.1,38.8,23.6,7.5,5.5,14.8,19.9,2012,Boston2012,Boston,.535,.496,160.5,19.7,72.4,47.3,66.5,14.7,8.3,8.7,1.2,57.5,101.0,98.2,2.8,"6,001.3",90.4,2012,Boston2012
18,Boston,81,49.0,96.5,37.0,79.7,.465,6.1,17.2,.358,16.3,21.0,.776,8.1,31.3,39.3,22.8,8.2,4.5,14.6,21.2,2013,Boston2013,Boston,.542,.503,159.9,20.1,73.3,47.5,61.4,14.1,8.8,7.3,1.2,57.7,103.1,103.3,-0.2,"7,583.1",91.7,2013,Boston2013
26,Boston,82,48.1,96.2,36.5,83.9,.435,7.0,21.1,.333,16.2,20.8,.777,12.0,30.5,42.5,21.0,7.1,4.2,15.4,21.3,2014,Boston2014,Boston,.517,.477,154.5,27.4,74.2,50.1,57.6,14.2,7.6,6.7,1.1,55.4,102.9,107.7,-4.8,"7,670.1",93.3,2014,Boston2014
13,Boston,82,48.5,101.4,38.9,87.9,.443,8.0,24.6,.327,15.4,20.5,.754,11.1,32.7,43.8,24.5,8.2,3.6,13.8,21.2,2015,Boston2015,Boston,.523,.489,152.4,24.7,75.0,49.5,62.9,12.5,8.5,5.7,1.2,62.1,104.7,104.5,0.2,"7,939.3",95.8,2015,Boston2015
5,Boston,82,48.2,105.7,39.2,89.2,.439,8.7,26.1,.335,18.5,23.5,.788,11.6,33.3,44.9,24.2,9.2,4.2,13.7,21.9,2016,Boston2016,Boston,.531,.488,156.2,25.1,74.6,49.4,61.6,12.1,9.3,6.9,1.2,65.9,106.8,103.6,3.2,"8,115.3",98.5,2016,Boston2016
