Index,Date,Category
0,200501,2red orange
1,200502,3orange red
2,200503,3orange red
3,200504,5yellow
4,200505,6green
5,200506,8blue
6,200507,9purple
7,200508,9purple
8,200509,8blue
9,200510,6green
10,200511,5yellow
11,200512,2red orange
12,200601,3orange red
13,200602,3orange red
14,200603,4orange
15,200604,5yellow
16,200605,7light blue
17,200606,8blue
18,200607,9purple
19,200608,9purple
20,200609,7light blue
21,200610,6green
22,200611,5yellow
23,200612,4orange
24,200701,3orange red
25,200702,2red orange
26,200703,3orange red
27,200704,5yellow
28,200705,7light blue
29,200706,8blue
30,200707,9purple
31,200708,9purple
32,200709,8blue
33,200710,7light blue
34,200711,4orange
35,200712,3orange red
36,200801,3orange red
37,200802,3orange red
38,200803,3orange red
39,200804,5yellow
40,200805,6green
41,200806,8blue
42,200807,9purple
43,200808,8blue
44,200809,8blue
45,200810,6green
46,200811,4orange
47,200812,3orange red
48,200901,1red
49,200902,3orange red
50,200903,4orange
51,200904,6green
52,200905,7light blue
53,200906,8blue
54,200907,8blue
55,200908,9purple
56,200909,7light blue
57,200910,6green
58,200911,5yellow
59,200912,3orange red
60,201001,2red orange
61,201002,3orange red
62,201003,4orange
63,201004,6green
64,201005,7light blue
65,201006,8blue
66,201007,9purple
67,201008,9purple
68,201009,8blue
69,201010,6green
70,201011,4orange
71,201012,2red orange
72,201101,2red orange
73,201102,2red orange
74,201103,4orange
75,201104,5yellow
76,201105,7light blue
77,201106,8blue
78,201107,9purple
79,201108,9purple
80,201109,8blue
81,201110,6green
82,201111,5yellow
83,201112,4orange
84,201201,3orange red
85,201202,3orange red
86,201203,5yellow
87,201204,6green
88,201205,7light blue
89,201206,8blue
90,201207,9purple
91,201208,9purple
92,201209,8blue
93,201210,6green
94,201211,4orange
95,201212,3orange red
96,201301,2red orange
97,201302,3orange red
98,201303,4orange
99,201304,5yellow
100,201305,7light blue
101,201306,8blue
102,201307,9purple
103,201308,8blue
104,201309,7light blue
105,201310,6green
106,201311,4orange
107,201312,3orange red
108,201401,2red orange
109,201402,2red orange
110,201403,3orange red
111,201404,5yellow
112,201405,7light blue
113,201406,8blue
114,201407,9purple
115,201408,8blue
116,201409,8blue
117,201410,6green
118,201411,4orange
119,201412,3orange red
120,201501,2red orange
121,201502,1red
122,201503,3orange red
123,201504,5yellow
124,201505,8blue
125,201506,8blue
126,201507,9purple
127,201508,9purple
128,201509,8blue
129,201510,6green
130,201511,5yellow
131,201512,5yellow
132,201601,3orange red
133,201602,3orange red
134,201603,4orange
135,201604,5yellow
136,201605,7light blue
137,201606,8blue
138,201607,9purple
139,201608,9purple
140,201609,8blue
141,201610,6green
142,201611,5yellow
143,201612,3orange red
144,201701,3orange red
145,201702,3orange red
146,201703,3orange red
147,201704,6green
148,201705,7light blue
149,201706,8blue
150,201707,9purple
151,201708,8blue
152,201709,8blue
153,201710,7light blue
154,201711,4orange
155,201712,2red orange
156,201801,2red orange
157,201802,3orange red
158,201803,4orange
159,201804,5yellow
160,201805,7light blue
161,201806,8blue
162,201807,9purple
163,201808,9purple
164,201809,8blue
165,201810,6green
166,201811,4orange
167,201812,3orange red
168,201901,2red orange
169,201902,3orange red
170,201903,3orange red
171,201904,5yellow
172,201905,7light blue
173,201906,8blue
174,201907,9purple
175,201908,9purple
176,201909,8blue
177,201910,6green
178,201911,4orange
179,201912,3orange red
180,202001,3orange red
181,202002,3orange red
182,202003,4orange
183,202004,5yellow
184,202005,7light blue
185,202006,8blue
186,202007,9purple
187,202008,9purple
188,202009,8blue
189,202010,6green
190,202011,5yellow
191,202012,3orange red
192,202101,3orange red
193,202102,2red orange
194,202103,4orange
195,202104,5yellow
196,202105,7light blue
197,202106,9purple
198,202107,9purple
199,202108,9purple
200,202109,8blue
201,202110,7light blue
202,202111,4orange
203,202112,4orange
204,202201,2red orange
205,202202,3orange red
206,202203,4orange
207,202204,5yellow
208,202205,7light blue
209,202206,8blue
210,202207,9purple
211,202208,9purple
212,202209,8blue
213,202210,6green
214,202211,5yellow
215,202212,3orange red
216,202301,4orange
217,202302,3orange red
218,202303,4orange
